idno,inwdds,inwmms,inwyys,inwshh,inwsmm,inwdde,inwmme,inwyye,inwehh,inwemm
921018,6,11,2014,16,6,6,11,2014,16,33
921026,2,12,2014,14,29,2,12,2014,15,7
921034,15,10,2014,9,7,15,10,2014,9,56
921076,2,12,2014,10,10,2,12,2014,11,10
921084,25,11,2014,8,57,25,11,2014,9,42
921131,27,11,2014,10,10,27,11,2014,12,1
921165,4,10,2014,15,6,4,10,2014,15,58
921181,4,10,2014,11,16,4,10,2014,12,10
921199,18,11,2014,10,42,18,11,2014,11,22
921204,13,11,2014,10,26,13,11,2014,11,31
921220,22,10,2014,13,3,22,10,2014,14,10
921254,27,10,2014,9,13,27,10,2014,10,20
921262,15,10,2014,10,6,15,10,2014,11,0
921288,11,11,2014,14,12,11,11,2014,14,54
921296,18,1,2015,14,57,18,1,2015,15,36
921319,1,10,2014,12,2,1,10,2014,13,6
921327,10,10,2014,12,7,10,10,2014,13,51
921335,10,12,2014,18,30,10,12,2014,18,55
921377,16,10,2014,11,23,16,10,2014,12,37
921393,9,11,2014,14,3,9,11,2014,14,47
921408,29,10,2014,20,15,29,10,2014,21,30
921416,19,11,2014,13,2,19,11,2014,14,1
921424,18,11,2014,10,54,18,11,2014,11,29
921432,14,11,2014,14,0,14,11,2014,14,42
921440,27,11,2014,11,13,27,11,2014,12,27
921474,11,11,2014,13,5,11,11,2014,14,15
921490,24,10,2014,13,48,24,10,2014,14,34
921505,27,10,2014,16,32,27,10,2014,17,11
921521,25,11,2014,13,2,25,11,2014,13,53
921539,14,10,2014,10,55,14,10,2014,11,49
921547,16,11,2014,14,34,16,11,2014,15,13
921563,11,10,2014,9,23,11,10,2014,9,58
921571,20,10,2014,10,18,20,10,2014,11,14
921589,11,11,2014,14,0,11,11,2014,15,16
921610,25,11,2014,16,35,25,11,2014,17,40
921628,3,11,2014,13,3,3,11,2014,14,2
921636,27,10,2014,19,37,27,10,2014,20,45
921652,19,12,2014,10,0,19,12,2014,11,5
921660,7,10,2014,10,12,7,10,2014,11,19
921678,27,10,2014,10,0,27,10,2014,11,7
921733,8,11,2014,10,7,8,11,2014,11,8
921814,3,11,2014,9,0,3,11,2014,9,41
921856,27,10,2014,16,2,27,10,2014,17,16
921864,29,10,2014,20,6,29,10,2014,21,11
921872,30,10,2014,10,10,30,10,2014,11,26
921880,5,11,2014,16,32,5,11,2014,17,12
921898,8,10,2014,16,29,8,10,2014,17,46
921903,7,11,2014,10,29,7,11,2014,11,22
921911,25,11,2014,9,0,25,11,2014,10,5
921937,25,10,2014,14,17,25,10,2014,15,14
921945,11,12,2014,10,8,11,12,2014,11,9
921953,7,11,2014,10,20,7,11,2014,11,37
921987,14,10,2014,10,0,14,10,2014,10,55
922006,31,10,2014,9,18,31,10,2014,10,36
922014,21,1,2015,11,21,21,1,2015,12,3
922048,24,10,2014,15,37,24,10,2014,16,44
922056,27,10,2014,11,12,27,10,2014,12,39
