idno,ppltrst,polintr,vote,lrscale,happy,health,cgtsday,cgtsmke,alcfreq,brncntr,height,weight,gndr,yrbrn,edlvddk,marsts,polpartvt
921018,6,Hardly interested,Not eligible to vote,4,9,Very good,10,I smoke but not every day,2-3 times a month,Yes,178,64,Male,1990,Folkeskole 6.-8. klasse,None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921026,8,Quite interested,Yes,4,8,Very good,NA,I have never smoked,Several times a week,Yes,172,64,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Widowed/civil partner died,[1] Socialdemokraterne - the Danish social democrats
921034,8,Quite interested,Yes,7,8,Good,NA,I don't smoke now but I used to,Every day,Yes,176,87,Male,1957,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921076,8,Quite interested,Yes,5,8,Good,NA,I don't smoke now but I used to,Several times a week,Yes,162,70,Female,1958,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[NA] No answer
921084,5,Not at all interested,Yes,Don't know,8,Very good,NA,I have only smoked a few times,Every day,Yes,175,80,Male,1936,Folkeskole 6.-8. klasse,Widowed/civil partner died,[1] Socialdemokraterne - the Danish social democrats
921131,8,Very interested,Yes,5,8,Fair,NA,I don't smoke now but I used to,Several times a week,Yes,160,70,Female,1940,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Widowed/civil partner died,[8] Liberal Alliance - Liberal Alliance
921165,8,Quite interested,Yes,8,Extremely happy,Good,NA,I have never smoked,Once a week,Yes,167,78,Female,1965,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921181,9,Quite interested,Yes,5,9,Fair,NA,I don't smoke now but I used to,Once a week,Yes,194,102,Male,1956,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[2] Det Radikale Venstre - Danish Social-Liberal Party
921199,9,Quite interested,Yes,Right,8,Fair,20,I smoke daily,2-3 times a month,Yes,176,62,Female,1993,Folkeskole 9.-10. klasse,None of these (NEVER married or in legally registered civil union),"[7] Venstre, Danmarks Liberale Parti - Venstre"
921204,9,Hardly interested,Yes,7,8,Good,NA,I don't smoke now but I used to,Once a week,No,157,48,Female,1941,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Not applicable,[NA] Don't know
921220,8,Quite interested,Yes,8,8,Fair,NA,I don't smoke now but I used to,Every day,Yes,178,80,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[4] SF Socialistisk Folkeparti - Socialist People's Party
921254,7,Hardly interested,Yes,6,4,Very good,NA,I have only smoked a few times,Once a week,Yes,185,70,Male,1977,"Forskeruddannelse. Ph.d., doktor",None of these (NEVER married or in legally registered civil union),[2] Det Radikale Venstre - Danish Social-Liberal Party
921262,8,Hardly interested,Yes,7,8,Very good,NA,I have never smoked,2-3 times a month,Yes,180,93,Male,1987,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",None of these (NEVER married or in legally registered civil union),"[7] Venstre, Danmarks Liberale Parti - Venstre"
921288,8,Quite interested,Yes,5,8,Very good,NA,I have only smoked a few times,Several times a week,Yes,191,95,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",None of these (NEVER married or in legally registered civil union),[1] Socialdemokraterne - the Danish social democrats
921296,5,Very interested,Yes,7,9,Good,NA,I have never smoked,Once a week,Yes,202,108,Male,1988,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",None of these (NEVER married or in legally registered civil union),"[7] Venstre, Danmarks Liberale Parti - Venstre"
921319,8,Very interested,Not eligible to vote,8,Extremely happy,Fair,10,I smoke daily,Once a week,Yes,185,82,Male,1997,Folkeskole 9.-10. klasse,None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921327,9,Quite interested,Yes,2,9,Good,NA,I don't smoke now but I used to,Once a week,Yes,182,97,Male,1940,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[9] Enhedslisten - Unity List - The Red-Green Alliance
921335,8,Hardly interested,Yes,9,9,Good,NA,I have never smoked,Several times a week,Yes,178,84,Male,1945,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[10] Andet - other
921377,7,Quite interested,Yes,7,9,Good,NA,I don't smoke now but I used to,2-3 times a month,Yes,169,68,Male,1948,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921393,7,Quite interested,Yes,7,8,Very good,NA,I have never smoked,Less than once a month,Yes,184,67,Male,1985,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",None of these (NEVER married or in legally registered civil union),"[7] Venstre, Danmarks Liberale Parti - Venstre"
921408,7,Quite interested,Yes,8,9,Fair,1,I smoke but not every day,Several times a week,Yes,203,104,Male,1977,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921416,8,Quite interested,Yes,8,Extremely happy,Very good,40,I smoke daily,Several times a week,Yes,186,83,Male,1953,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[5] Dansk Folkeparti - Danish peoples party
921424,7,Quite interested,Yes,2,9,Very good,NA,I have only smoked a few times,Several times a week,Yes,193,80,Male,1993,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",None of these (NEVER married or in legally registered civil union),[4] SF Socialistisk Folkeparti - Socialist People's Party
921432,6,Quite interested,Yes,7,Extremely happy,Very good,6,I smoke daily,Once a week,Yes,180,90,Male,1989,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",None of these (NEVER married or in legally registered civil union),[1] Socialdemokraterne - the Danish social democrats
921440,9,Hardly interested,Yes,3,9,Good,NA,I have only smoked a few times,Once a week,Yes,178,76,Male,1975,Universitetsbachelor. 1. del af kandidatuddannelse,None of these (NEVER married or in legally registered civil union),[NA] Don't know
921474,3,Quite interested,Yes,2,6,Fair,8,I smoke daily,Less than once a month,Yes,160,70,Female,1980,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",None of these (NEVER married or in legally registered civil union),[9] Enhedslisten - Unity List - The Red-Green Alliance
921490,4,Quite interested,Yes,3,Extremely happy,Very good,NA,I don't smoke now but I used to,Never,No,167,62,Female,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[4] SF Socialistisk Folkeparti - Socialist People's Party
921505,8,Quite interested,Yes,8,8,Good,NA,I have never smoked,2-3 times a month,Yes,185,83,Male,1968,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",None of these (NEVER married or in legally registered civil union),"[7] Venstre, Danmarks Liberale Parti - Venstre"
921521,6,Hardly interested,Yes,3,9,Good,NA,I don't smoke now but I used to,Several times a week,Yes,191,75,Male,1987,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",None of these (NEVER married or in legally registered civil union),[4] SF Socialistisk Folkeparti - Socialist People's Party
921539,7,Quite interested,Yes,3,9,Very good,5,I smoke but not every day,Less than once a month,Yes,170,78,Female,1982,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",None of these (NEVER married or in legally registered civil union),[2] Det Radikale Venstre - Danish Social-Liberal Party
921547,5,Hardly interested,Not eligible to vote,5,8,Good,NA,I have never smoked,Once a month,Yes,164,68,Female,1999,Folkeskole 9.-10. klasse,None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921563,4,Quite interested,Yes,4,8,Good,8,I smoke daily,Several times a week,Yes,180,70,Male,1954,Folkeskole 9.-10. klasse,Legally divorced/civil union dissolved,[1] Socialdemokraterne - the Danish social democrats
921571,8,Very interested,Yes,3,9,Fair,5,I smoke daily,Less than once a month,Yes,163,92,Female,1978,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Not applicable,[5] Dansk Folkeparti - Danish peoples party
921589,8,Quite interested,Yes,Right,9,Very bad,NA,I have never smoked,Never,Yes,142,50,Female,1931,Folkeskole 9.-10. klasse,Widowed/civil partner died,[3] Det Konservative Folkeparti - Conservative
921610,6,Very interested,Yes,5,9,Good,NA,I have never smoked,Less than once a month,Yes,170,60,Female,1978,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921628,7,Quite interested,Yes,5,8,Fair,NA,I have never smoked,2-3 times a month,Yes,162,78,Female,1941,Folkeskole 6.-8. klasse,Not applicable,[NA] Refusal
921636,9,Hardly interested,Not eligible to vote,3,8,Very good,NA,I have only smoked a few times,2-3 times a month,Yes,185,68,Male,1996,Folkeskole 9.-10. klasse,None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921652,7,Quite interested,Yes,6,7,Very good,NA,I have only smoked a few times,Once a week,Yes,172,65,Female,1987,Universitetsbachelor. 1. del af kandidatuddannelse,None of these (NEVER married or in legally registered civil union),[2] Det Radikale Venstre - Danish Social-Liberal Party
921660,8,Very interested,Yes,Left,6,Very good,NA,I don't smoke now but I used to,2-3 times a month,Yes,173,76,Male,1941,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Not applicable,[9] Enhedslisten - Unity List - The Red-Green Alliance
921678,4,Not at all interested,Yes,5,Extremely happy,Very good,10,I smoke daily,Every day,Yes,178,65,Male,1946,Folkeskole 6.-8. klasse,Legally divorced/civil union dissolved,[1] Socialdemokraterne - the Danish social democrats
921733,5,Quite interested,Yes,6,3,Fair,NA,I have never smoked,Several times a week,Yes,182,95,Male,1960,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",None of these (NEVER married or in legally registered civil union),[NA] Refusal
921814,9,Very interested,Yes,7,Extremely happy,Very good,NA,I have never smoked,Never,Yes,196,90,Male,1972,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[2] Det Radikale Venstre - Danish Social-Liberal Party
921856,7,Hardly interested,Yes,7,8,Very good,NA,I have never smoked,2-3 times a month,Yes,158,79,Female,1969,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Not applicable,[5] Dansk Folkeparti - Danish peoples party
921864,8,Very interested,Not eligible to vote,7,7,Bad,20,I smoke daily,Several times a week,Yes,169,66,Male,1994,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921872,4,Hardly interested,Yes,4,5,Very bad,15,I smoke daily,Never,Yes,165,69,Female,1983,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[NA] Don't know
921880,7,Hardly interested,Yes,5,9,Good,NA,I have never smoked,Once a week,Yes,180,80,Female,1963,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Not applicable,[1] Socialdemokraterne - the Danish social democrats
921898,8,Quite interested,Yes,3,Extremely happy,Very good,NA,I have never smoked,2-3 times a month,Yes,177,66,Female,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",None of these (NEVER married or in legally registered civil union),[2] Det Radikale Venstre - Danish Social-Liberal Party
921903,8,Very interested,Yes,3,Extremely happy,Very good,3,I smoke daily,2-3 times a month,Yes,170,76,Male,1967,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Legally divorced/civil union dissolved,[5] Dansk Folkeparti - Danish peoples party
921911,5,Hardly interested,Yes,6,1,Bad,20,I smoke daily,Every day,Yes,175,98,Male,1969,Folkeskole 6.-8. klasse,Legally divorced/civil union dissolved,[2] Det Radikale Venstre - Danish Social-Liberal Party
921937,4,Very interested,Not eligible to vote,1,4,Very good,10,I smoke daily,Several times a week,Yes,180,64,Male,1994,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",None of these (NEVER married or in legally registered civil union),[NA] Not applicable
921945,6,Hardly interested,Yes,7,7,Very good,NA,I have only smoked a few times,Once a week,Yes,183,106,Male,1976,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921953,8,Very interested,Yes,7,9,Fair,NA,I don't smoke now but I used to,Every day,Yes,172,82,Female,1935,Folkeskole 9.-10. klasse,Widowed/civil partner died,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921987,7,Very interested,No,8,7,Very good,NA,I have never smoked,Once a week,Yes,179,74,Male,1964,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[NA] Not applicable
922006,7,Hardly interested,Yes,7,Extremely happy,Good,20,I smoke daily,Less than once a month,Yes,167,106,Female,1964,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Not applicable,[NA] Refusal
922014,5,Hardly interested,Yes,7,9,Fair,NA,I have only smoked a few times,2-3 times a month,Yes,161,50,Female,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",None of these (NEVER married or in legally registered civil union),[NA] Don't know
922048,9,Not at all interested,Yes,2,3,Bad,0,I smoke daily,Every day,Yes,165,70,Male,1929,Folkeskole 6.-8. klasse,Legally married,[1] Socialdemokraterne - the Danish social democrats
922056,6,Hardly interested,Yes,4,8,Good,NA,I have only smoked a few times,Every day,No,153,58,Female,1973,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",None of these (NEVER married or in legally registered civil union),[NA] Don't know
922072,7,Quite interested,Yes,4,9,Very good,NA,I have never smoked,Once a month,Yes,162,69,Female,1988,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",None of these (NEVER married or in legally registered civil union),[NA] Refusal
922080,5,Hardly interested,No,Don't know,6,Fair,20,I smoke daily,Several times a week,Yes,184,87,Male,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[NA] Not applicable
922098,4,Hardly interested,Yes,8,9,Very good,3,I smoke but not every day,Less than once a month,Yes,186,69,Male,1947,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[5] Dansk Folkeparti - Danish peoples party
922103,9,Very interested,Yes,1,8,Good,20,I smoke daily,Every day,Yes,189,76,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Legally separated,[4] SF Socialistisk Folkeparti - Socialist People's Party
922111,8,Quite interested,Yes,7,9,Very good,NA,I have never smoked,Every day,Yes,169,60,Female,1944,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,[5] Dansk Folkeparti - Danish peoples party
922129,4,Very interested,Not eligible to vote,4,8,Good,NA,I have never smoked,Several times a week,Yes,185,70,Male,1998,Folkeskole 9.-10. klasse,None of these (NEVER married or in legally registered civil union),[NA] Not applicable
922200,8,Very interested,Yes,4,8,Good,NA,I have never smoked,Once a month,Yes,188,105,Male,1975,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,[4] SF Socialistisk Folkeparti - Socialist People's Party
922226,5,Quite interested,Yes,8,8,Good,NA,I have never smoked,Several times a week,Yes,173,80,Male,1941,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922250,8,Not at all interested,No,Don't know,8,Fair,NA,I don't smoke now but I used to,Several times a week,No,178,72,Female,1937,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Not applicable,[NA] Not applicable
922268,9,Quite interested,Yes,8,Extremely happy,Very good,8,I smoke daily,Several times a week,Yes,170,85,Female,1971,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Not applicable,"[7] Venstre, Danmarks Liberale Parti - Venstre"
