idno,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
921018,7,6,7,7,7,Don't know,5
921026,7,8,8,7,6,6,6
921034,9,9,9,7,7,5,6
921076,4,6,7,6,5,5,5
921084,5,Don't know,6,4,4,Don't know,7
921131,5,7,8,3,6,2,3
921165,5,8,8,3,3,3,5
921181,8,7,9,6,6,5,6
921199,3,1,9,5,7,8,8
921204,Don't know,8,8,3,3,4,6
921220,6,8,8,4,4,4,6
921254,6,8,7,7,5,8,5
921262,7,9,9,6,6,Don't know,7
921288,7,7,8,7,6,6,7
921296,7,8,8,5,5,5,5
921319,2,7,5,No trust at all,1,No trust at all,4
921327,9,8,8,7,7,6,8
921335,9,8,9,6,6,4,8
921377,4,6,7,4,5,5,7
921393,9,9,9,7,6,6,6
921408,7,5,8,6,6,6,6
921416,7,9,8,7,7,3,5
921424,6,8,8,5,5,1,5
921432,8,6,9,7,7,4,5
921440,8,9,7,5,4,4,6
921474,3,8,7,3,5,3,7
921490,8,Complete trust,9,8,7,7,8
921505,9,9,9,8,8,7,9
921521,7,9,9,6,7,7,8
921539,5,Complete trust,9,6,2,7,7
921547,7,5,9,5,5,5,5
921563,6,6,8,Don't know,Don't know,Don't know,9
921571,No trust at all,8,9,No trust at all,No trust at all,2,3
921589,8,6,Complete trust,8,8,2,5
921610,6,4,4,5,6,5,4
921628,6,4,4,7,6,6,8
921636,Complete trust,Complete trust,9,7,7,7,9
921652,8,8,7,6,6,7,7
921660,5,6,6,5,5,2,4
921678,6,Complete trust,Complete trust,6,3,2,5
921733,6,5,5,5,7,4,6
921814,7,8,9,8,7,7,7
921856,5,8,8,5,5,5,5
921864,7,4,2,7,8,6,8
921872,No trust at all,No trust at all,No trust at all,No trust at all,1,1,1
921880,5,6,8,5,4,5,6
921898,9,Complete trust,9,7,9,3,7
921903,2,9,7,6,7,2,6
921911,No trust at all,2,2,1,1,No trust at all,5
921937,1,4,No trust at all,1,3,No trust at all,5
921945,6,6,9,6,6,Don't know,7
921953,2,Complete trust,Complete trust,7,3,3,7
921987,4,6,8,3,3,2,5
922006,6,8,8,4,3,5,5
922014,6,5,3,4,1,Don't know,5
922048,5,8,8,8,5,5,5
922056,5,8,8,4,5,5,8
922072,6,8,8,5,4,4,8
922080,No trust at all,2,4,No trust at all,No trust at all,No trust at all,5
922098,4,8,6,5,5,4,5
922103,8,8,8,8,Don't know,4,7
922111,7,5,6,7,8,8,8
922129,4,3,2,2,6,4,6
922200,8,8,Complete trust,7,5,2,8
922226,2,1,2,3,4,No trust at all,1
922250,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust,Complete trust
922268,7,8,8,7,7,6,7
922276,8,Complete trust,Complete trust,6,8,6,Complete trust
922284,3,6,9,3,4,3,Don't know
922292,8,9,9,7,7,6,8
922315,5,8,8,6,4,3,7
922323,5,8,8,4,4,4,6
922381,1,8,8,1,4,2,6
922399,9,9,9,8,7,7,9
922404,Complete trust,Complete trust,9,9,9,Complete trust,Complete trust
922412,5,8,8,3,4,1,No trust at all
922420,3,6,8,3,3,No trust at all,3
922454,5,5,8,5,6,5,8
922462,Complete trust,Complete trust,Complete trust,Complete trust,8,8,8
922470,7,8,8,8,7,5,8
922501,7,9,Complete trust,3,3,3,9
922519,7,9,7,6,6,6,8
922535,9,Complete trust,Complete trust,8,8,7,9
922543,8,6,9,8,8,9,8
922569,4,2,1,4,5,Don't know,Don't know
922577,2,5,5,1,1,No trust at all,5
922593,7,9,Complete trust,6,7,7,5
922608,6,9,7,6,5,4,Don't know
922616,9,8,Complete trust,4,5,5,5
922624,8,5,8,4,4,7,9
922640,9,9,9,8,8,8,8
922658,5,7,7,5,6,6,7
922690,4,7,8,3,3,3,3
922713,8,7,8,7,8,6,7
922721,3,6,8,4,4,2,5
922739,8,8,8,7,6,5,7
922763,3,1,3,1,1,No trust at all,No trust at all
922771,3,4,Complete trust,7,7,7,6
922789,8,9,9,7,7,6,7
922802,7,5,Complete trust,6,7,6,8
922852,8,3,Complete trust,8,8,8,8
922860,8,9,7,5,6,7,7
922886,6,6,Complete trust,8,9,5,9
922894,9,6,8,4,5,5,6
922925,7,8,4,4,2,5,8
922933,3,7,7,2,2,2,4
922941,8,9,9,7,7,5,8
922959,7,Complete trust,Complete trust,6,7,9,8
922967,5,8,8,5,5,4,7
922975,Complete trust,8,8,9,7,7,5
922983,4,8,9,4,5,2,5
922991,6,9,9,6,6,8,9
923052,6,8,8,6,5,6,6
923060,7,7,8,7,7,5,8
923094,5,Complete trust,9,4,7,6,8
923109,4,7,9,5,5,5,5
923125,4,5,3,3,4,6,5
923133,2,Complete trust,8,3,4,4,9
923141,6,8,8,7,6,6,8
923159,6,Complete trust,Complete trust,5,5,4,4
923167,9,9,9,5,6,9,3
923183,8,Complete trust,Complete trust,7,7,Don't know,Don't know
923191,8,9,9,7,7,7,7
923214,Complete trust,Complete trust,Complete trust,9,Complete trust,8,8
923256,8,Complete trust,Complete trust,No answer,2,2,2
923264,No trust at all,7,5,No trust at all,No trust at all,No trust at all,2
923272,7,7,8,6,6,5,7
923280,8,Complete trust,7,7,7,5,5
923329,6,7,8,7,7,5,3
923353,7,7,8,5,5,5,6
923361,7,5,5,2,2,5,5
923379,6,8,8,4,5,6,7
923395,9,9,7,4,4,5,8
923400,5,8,8,5,3,5,8
923418,4,8,9,5,5,2,6
923426,4,8,6,2,2,3,7
923434,3,6,6,4,4,5,5
923476,9,8,8,7,6,7,6
923492,5,Complete trust,Complete trust,5,5,5,5
923523,5,6,5,6,5,4,6
923531,8,9,9,8,7,5,8
923557,8,Complete trust,9,7,7,5,9
923573,2,8,8,2,2,5,7
923604,4,2,3,3,3,Don't know,3
923612,9,Complete trust,Complete trust,7,6,8,9
923620,8,Complete trust,Complete trust,7,7,5,8
923646,No trust at all,5,9,No trust at all,No trust at all,No trust at all,8
923662,4,8,9,2,5,2,7
923670,2,3,8,2,5,No trust at all,7
923688,4,No trust at all,4,Don't know,Don't know,Don't know,Don't know
923701,Complete trust,Complete trust,Complete trust,4,8,Complete trust,Complete trust
923719,8,8,8,7,7,6,8
923727,3,5,7,4,4,3,5
923743,5,8,9,3,3,5,5
923769,7,8,8,6,7,6,8
923777,7,7,8,6,6,6,6
923785,7,8,9,5,5,5,8
923793,8,8,7,8,8,5,8
923808,6,8,9,5,6,5,9
923816,6,8,8,6,7,8,8
923824,8,6,7,7,7,6,6
923832,7,Complete trust,Complete trust,6,6,Don't know,Don't know
923858,5,8,6,3,4,1,7
923866,5,Complete trust,Complete trust,4,4,6,5
923882,8,8,9,3,2,2,5
923890,9,Complete trust,7,8,9,7,8
923905,No trust at all,No trust at all,5,No trust at all,No trust at all,No trust at all,No trust at all
923913,5,8,7,7,7,6,7
923939,8,9,8,5,5,5,5
923971,8,Complete trust,Complete trust,7,9,2,6
923989,3,4,9,4,3,4,4
923997,4,7,8,4,4,3,3
924024,3,8,8,3,3,5,5
924032,7,Complete trust,9,8,7,7,7
924040,9,Complete trust,8,8,7,5,4
924058,7,8,8,4,4,4,4
924066,4,4,5,5,5,No trust at all,5
924074,8,8,9,5,5,5,7
924090,7,9,9,5,5,5,5
924105,3,7,7,4,3,2,2
924113,9,Complete trust,9,8,8,7,9
924121,5,8,2,5,5,5,No trust at all
924139,7,7,Complete trust,5,5,Don't know,Complete trust
924155,2,3,5,3,4,5,4
924163,7,6,9,2,2,4,8
924171,5,4,8,3,5,2,Don't know
924202,2,4,6,2,3,2,2
924236,6,9,9,4,4,2,6
924244,2,6,4,No trust at all,No trust at all,No trust at all,5
924252,9,9,8,5,8,9,9
924278,Complete trust,Complete trust,Complete trust,5,5,8,5
924325,7,9,Complete trust,6,6,5,8
924359,Complete trust,Complete trust,8,8,8,6,6
924367,6,8,8,7,6,6,6
924375,2,8,6,4,3,3,6
924383,2,9,9,3,3,2,7
924406,5,Complete trust,No trust at all,5,1,No trust at all,Don't know
924430,6,8,9,6,6,6,7
924464,7,7,8,5,6,3,3
924472,8,9,7,7,5,7,7
924480,8,9,9,5,8,Don't know,7
924498,Complete trust,8,Complete trust,8,8,Complete trust,Complete trust
924503,8,7,9,4,6,3,5
924511,5,8,7,5,5,8,8
924529,8,9,9,6,8,8,8
924545,Complete trust,No answer,7,Complete trust,9,8,3
924561,8,8,8,7,8,8,8
924579,5,9,9,5,6,4,5
924595,8,9,9,5,6,6,7
924600,Complete trust,Complete trust,Complete trust,8,8,9,9
924618,8,9,9,7,7,7,7
924626,5,8,8,2,2,5,5
924676,3,8,8,3,4,4,7
924692,6,5,8,5,3,8,8
924715,8,8,9,8,8,8,8
924731,7,6,8,4,5,5,5
924781,8,Complete trust,Complete trust,9,8,7,9
924812,8,7,8,6,6,5,8
924846,8,8,8,6,7,3,4
924854,3,7,3,3,2,2,2
924862,7,8,7,6,6,5,5
924901,Complete trust,Complete trust,Complete trust,8,8,7,8
924943,6,8,Complete trust,5,5,7,6
924951,4,6,7,4,6,3,8
924969,6,7,7,6,6,6,7
924985,7,8,6,5,5,5,6
925038,8,9,8,4,4,3,5
925046,6,9,Complete trust,3,5,2,7
925054,5,7,7,3,3,4,4
925062,9,Complete trust,Complete trust,8,8,8,8
925088,3,6,8,2,1,5,6
925096,3,5,3,2,3,4,4
925101,6,7,9,7,7,Don't know,Don't know
925119,8,8,9,7,7,7,7
925127,6,5,5,5,3,6,4
925143,2,5,6,2,2,3,3
925169,3,8,8,3,2,6,6
925177,2,3,7,2,2,2,3
925185,6,8,8,7,7,4,8
925193,4,8,6,3,3,7,7
925216,5,Complete trust,Complete trust,2,2,Don't know,8
925224,3,9,4,2,3,Don't know,Don't know
925232,2,5,8,3,3,4,Don't know
925240,5,5,5,3,3,3,3
925258,4,8,8,7,6,4,4
925274,7,5,5,6,5,7,5
925282,2,6,6,3,3,2,3
925290,7,6,8,4,4,2,7
925305,9,Complete trust,9,7,8,8,9
925313,5,8,8,6,6,6,8
925355,No trust at all,7,5,No trust at all,No trust at all,No trust at all,9
925371,2,9,9,4,5,5,8
925397,8,9,9,6,7,6,6
925402,9,Complete trust,9,7,7,5,8
925410,6,7,5,5,7,2,3
925509,Complete trust,Complete trust,9,8,8,7,7
925525,No trust at all,2,8,2,7,No trust at all,2
925533,2,7,9,2,2,No trust at all,5
925541,8,8,9,7,7,7,7
925559,Complete trust,Complete trust,9,5,5,6,7
